anna.col;11;13;11;11;11;11;11;13;11
;2;1;1;20;4;4;3;1;1
david.col;11;14;11;11;11;11;12;14;11
;0;0;1;4;5;3;1;0;1
dsjc1000.1.col;31;33;29;26;26;26;31;33;29
;4;5;4;913;836;833;30;25;20
dsjc1000.5.col;127;131;121;115;116;116;126;131;121
;18;18;18;8789;8733;8578;66;67;64
dsjc1000.9.col;321;331;313;301;297;299;323;331;313
;68;68;67;30298;31216;30702;91;94;87
dsjc125.1.col;8;8;7;6;6;6;8;8;7
;0;0;0;1;1;1;0;0;0
dsjc125.5.col;8;8;7;7;7;7;7;8;7
;0;0;0;1;0;1;0;0;0
dsjc125.9.col;56;57;53;51;52;51;57;57;53
;0;1;0;17;18;17;0;1;0
dsjc250.1.col;13;15;11;10;10;10;12;15;11
;0;0;1;8;9;8;1;0;1
dsjc250.5.col;43;43;41;39;36;38;43;43;41
;1;1;1;72;71;71;1;2;1
dsjc250.9.col;95;103;93;86;90;91;96;103;93
;2;2;2;186;195;187;2;3;2
dsjc500.1.col;20;21;18;16;16;16;20;21;18
;1;1;1;86;86;87;3;4;2
dsjc500.5.col;72;75;71;66;65;65;74;75;71
;4;3;4;771;862;829;10;17;10
dsjc500.9.col;178;182;169;165;164;165;178;182;169
;10;11;10;2286;2490;2334;13;12;13
dsjr500.1.col;5;5;4;4;4;4;5;5;4
;0;0;0;3;3;3;1;1;1
dsjr500.1c.col;110;106;100;90;89;90;108;106;100
;8;7;7;2190;2199;2258;10;12;11
dsjr500.5.col;143;199;134;131;132;132;146;199;134
;6;6;6;863;861;862;10;12;5
flat1000_50_0.col;122;126;123;117;115;115;125;126;123
;17;17;17;8766;8451;8383;66;66;64
flat1000_60_0.col;123;124;121;113;116;116;124;124;121
;18;18;18;8478;9048;9891;66;67;63
flat1000_76_0.col;125;126;123;116;115;114;125;126;123
;18;18;18;10380;10519;8896;70;69;65
flat300_20_0.col;13;10;12;12;11;11;12;10;12
;0;0;0;6;6;5;1;1;0
flat300_26_0.col;47;47;45;42;42;41;47;47;45
;1;2;1;137;129;127;2;3;2
flat300_28_0.col;46;48;45;41;41;42;48;48;45
;1;1;1;136;128;141;3;3;3
fpsol2_i_1.col;65;66;65;65;65;65;65;66;65
;1;1;1;48;48;48;3;5;1
fpsol2_i_2.col;30;34;30;30;30;30;31;34;30
;0;1;0;32;33;34;2;3;1
fpsol2_i_3.col;30;34;30;30;30;30;30;34;30
;0;1;0;35;34;34;2;3;1
games120.col;9;9;9;9;9;9;9;9;9
;0;0;0;1;1;1;0;0;0
homer.col;15;18;13;13;13;13;15;18;13
;0;1;0;10;9;9;2;2;0
huck.col;11;12;11;11;11;11;11;12;11
;0;0;0;0;1;0;0;0;0
inithx_i_1.col;54;55;54;54;54;54;54;55;54
;1;1;1;120;114;118;7;11;3
inithx_i_2.col;31;32;31;31;31;31;31;32;31
;1;0;1;91;88;89;5;6;3
inithx_i_3.col;31;31;31;31;31;31;31;31;31
;1;0;1;74;78;80;4;6;2
jean.col;10;12;10;10;10;10;11;12;10
;0;0;0;0;1;0;0;0;0
latin_square_10.col;151;213;213;130;134;134;151;213;213
;26;29;29;12619;14596;15515;83;66;62
le450_15a.col;22;26;18;17;17;17;21;26;18
;1;0;1;62;62;71;5;7;3
le450_15b.col;21;26;18;17;18;18;21;26;18
;1;1;0;84;74;67;4;4;3
le450_15c.col;31;35;26;25;24;24;30;35;26
;2;1;1;197;187;165;5;6;4
le450_15d.col;30;36;26;24;24;24;31;36;26
;1;1;1;174;207;194;5;7;4
le450_25a.col;29;34;26;25;25;25;28;34;26
;1;1;1;70;62;82;4;5;3
le450_25b.col;28;31;25;25;25;25;27;31;25
;1;0;1;82;91;77;4;5;3
le450_25c.col;35;42;29;29;29;29;35;42;29
;2;1;1;183;193;227;10;9;6
le450_25d.col;37;43;30;30;29;29;37;43;30
;2;1;2;217;193;193;9;8;4
le450_5a.col;13;15;11;10;10;11;14;15;11
;0;1;0;42;43;40;2;3;2
le450_5b.col;14;15;12;10;10;10;13;15;12
;0;1;0;45;46;55;3;3;3
le450_5c.col;16;17;12;11;10;10;16;17;12
;1;1;0;93;87;104;5;6;5
le450_5d.col;17;16;14;10;11;13;16;16;14
;1;1;1;96;98;85;3;4;3
miles1000.col;45;54;43;42;42;42;45;54;43
;0;0;1;6;6;7;1;0;0
miles1500.col;73;81;73;73;73;73;74;81;73
;0;1;0;14;18;14;1;1;0
miles250.col;9;10;8;8;8;8;10;10;8
;0;1;0;0;1;1;0;0;0
miles500.col;20;25;20;20;20;20;21;25;20
;0;0;0;2;2;1;1;0;0
miles750.col;36;38;32;32;31;31;35;38;32
;1;0;0;3;5;4;0;1;0
mulsol_i_1.col;49;49;49;49;49;49;49;49;49
;0;0;1;9;9;9;1;1;1
mulsol_i_2.col;31;31;31;31;31;31;31;31;31
;1;0;0;10;10;11;0;1;0
mulsol_i_3.col;31;31;31;31;31;31;31;31;31
;1;0;1;14;13;10;1;0;1
mulsol_i_4.col;31;31;31;31;31;31;31;31;31
;0;1;0;13;11;12;1;2;1
mulsol_i_5.col;31;31;31;31;31;31;31;31;31
;0;1;1;24;19;13;0;2;0
myciel3.col;4;4;4;4;4;4;4;4;4
;0;0;0;0;0;0;0;0;0
myciel4.col;5;5;5;5;5;5;5;5;5
;0;0;0;0;0;0;0;0;0
myciel5.col;6;7;6;6;6;6;6;7;6
;0;0;0;0;0;1;0;0;0
myciel6.col;7;8;7;7;7;7;7;8;7
;1;0;0;1;2;1;0;0;0
myciel7.col;10;9;8;8;8;8;8;9;8
;1;0;0;11;9;9;1;1;1
queen10_10.col;16;17;17;15;14;14;15;17;17
;1;0;0;3;2;3;1;0;0
queen11_11.col;16;18;17;15;15;15;17;18;17
;0;0;0;5;5;4;1;0;0
queen12_12.col;19;20;19;17;16;17;18;20;19
;1;0;0;12;8;11;1;0;1
queen13_13.col;19;22;23;18;18;19;20;22;23
;0;1;0;13;11;11;1;1;0
queen14_14.col;20;25;25;19;18;20;21;25;25
;0;1;0;20;16;16;1;1;1
queen15_15.col;22;25;25;21;20;21;22;25;25
;0;1;0;28;24;22;1;1;1
queen16_16.col;23;25;27;21;21;22;23;25;27
;0;1;1;44;35;44;1;2;1
queen5_5.col;7;9;7;6;5;5;8;9;7
;0;0;0;0;0;1;0;0;0
queen6_6.col;9;10;9;9;8;9;9;10;9
;0;0;0;0;1;0;0;0;0
queen7_7.col;11;13;12;11;10;10;11;13;12
;0;0;0;0;1;1;0;0;0
queen8_12.col;15;16;15;15;15;14;16;16;15
;0;1;0;6;5;5;0;1;0
queen8_8.col;12;14;13;11;11;12;13;14;13
;0;0;0;1;1;1;0;0;0
queen9_9.col;14;15;15;12;14;13;13;15;15
;0;0;0;2;1;2;0;0;0
school1.col;42;45;32;16;16;16;43;45;32
;1;2;1;152;164;162;5;6;3
school1_nsh.col;40;41;34;20;27;27;36;41;34
;1;2;1;132;93;111;3;6;2
sudoku.col;11;14;14;9;9;9;12;14;14
;0;0;0;1;1;2;0;0;0
zeroin_i_1.col;49;50;49;49;49;49;50;50;49
;0;0;1;10;11;12;1;1;0
zeroin_i_2.col;31;30;30;30;30;30;31;30;30
;0;0;1;11;14;15;1;1;0
zeroin_i_3.col;30;30;30;30;30;30;31;30;30
;0;0;1;9;10;8;1;1;0
